number,state,loss,anchor_name,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,tokens_per_sec,peak_memory_gib,per_device_batch_size,model_seed,reference_group,run_id
51,PRUNED,3.1047949833353634,,1,full,32,4,16,4,late,0.016873875401070416,0.019223918056864492,1.0,1.0,1,head_scalar,0.00634329255372898,0.1,0.02,1.0,23,384,51830984,,,,12,42,,
52,PRUNED,2.948917608065846,,1,lean,24,4,48,4,late,0.006361882404632797,0.014707793331404003,1.0,1.0,1,learned,0.001885490552202718,0.1,0.02,1.0,22,384,50434144,,,,12,42,,
53,PRUNED,3.0647692558661745,,2,full,24,1,48,4,late,0.008742239685099306,0.009245621839910437,1.0,1.0,1,linear,0.0033086380551857982,0.1,0.06,1.0,18,768,51546244,,,,12,42,,
54,PRUNED,3.0959433943964285,,2,full,24,4,16,3,late,0.008601656249538453,0.011533262346242773,1.0,1.0,1,head_scalar,0.005105130298993308,0.1,0.1,1.0,18,768,51249036,,,,12,42,,
55,PRUNED,3.11280867392335,,1,full,8,4,32,4,late,0.006461861878071709,0.007494045239473859,1.0,1.0,1,learned,0.0059363016282556825,0.1,0.06,1.0,23,384,51604280,,,,12,42,,
56,PRUNED,2.8533760928633205,,3,full,24,1,32,4,late,0.005893210479366255,0.022684583145871715,1.0,1.0,1,learned,0.0021103432385220027,0.1,0.02,1.0,15,1152,51985468,,,,12,42,,
57,PRUNED,3.1214884434184786,,2,lean,8,4,24,3,late,0.012724060644869497,0.00802983569352796,1.0,1.0,1,learned,0.007367735021522979,0.1,0.02,1.0,17,768,49008748,,,,12,42,,
58,PRUNED,3.1363546186317555,,2,full,8,1,24,4,late,0.011325647837788229,0.005638344694885105,1.0,1.0,1,learned,0.008002300658938604,0.1,0.02,1.0,18,768,51248452,,,,12,42,,
59,COMPLETE,2.7772600054740906,,2,full,24,2,48,4,late,0.027068226503865797,0.005056327916516059,1.0,1.0,1,learned,0.00234776157399298,0.1,0.04,1.0,18,768,51695240,0.2040627896785736,117954.51839620456,3.116689682006836,12,42,,01a74cd3
60,PRUNED,3.0665660004455324,,2,lean,24,4,24,4,late,0.005011389882240259,0.0072043301863631455,1.0,1.0,1,head_scalar,0.007173454314370033,0.05,0.02,1.0,17,768,49585168,,,,12,42,,
61,PRUNED,3.1223396229444274,,2,full,16,4,24,4,late,0.007384770708003422,0.020371338418072517,1.0,1.0,1,learned,0.0087529053588288,0.1,0.02,1.0,18,768,51586288,,,,12,42,,
62,PRUNED,3.0693906839963847,,2,full,16,4,32,6,late,0.011870027235277018,0.02743121245299392,1.0,1.0,1,learned,0.002846057346845854,0.15,0.02,1.0,18,768,52475640,,,,12,42,,
