attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_1000,mqar_acc_step_200,mqar_acc_step_400,mqar_acc_step_600,mqar_acc_step_800,mqar_proxy_ppl_step_1000,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_800,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,train_lm_loss_step_1000,train_lm_loss_step_200,train_lm_loss_step_400,train_lm_loss_step_600,train_lm_loss_step_800,train_mqar_loss_step_1000,train_mqar_loss_step_200,train_mqar_loss_step_400,train_mqar_loss_step_600,train_mqar_loss_step_800,train_total_loss_step_1000,train_total_loss_step_200,train_total_loss_step_400,train_total_loss_step_600,train_total_loss_step_800,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_1000,wikitext_ppl_step_200,wikitext_ppl_step_400,wikitext_ppl_step_600,wikitext_ppl_step_800
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.048828125,16.149775165480552,960.2846870357266,32,9.283384323120117,0.0007805406221426413,,1.0,4.0,transformer,0.03125,0.0703125,0.04296875,0.0625,0.05859375,16.12441322151393,17.18846090819635,16.6962734343023,16.186534412701317,15.87927259544232,6,4771840,17637632,0,21,-0.2945333644747734,COMPLETE,6.508481979370117,7.056057453155518,6.813130855560303,6.4978532791137695,6.517016410827637,2.77490234375,2.7744140625,2.828125,2.7939453125,2.7373046875,9.283384323120117,9.83047103881836,9.641256332397461,9.29179859161377,9.254321098327637,0.0,0.012529912077960071,0.1170261146814456,1039.217080419002,1390.9701455691052,1183.5669357933189,1197.938508121384,957.3510941109123
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 8, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0703125,16.09344208718742,1038.9903968221365,64,9.285303115844727,0.0002977160611229249,,0.5,2.667,transformer,0.09375,0.08984375,0.078125,0.05859375,0.078125,16.035103270420887,16.612919305175964,16.572409890244206,16.43040038314636,16.228081443964932,8,5038080,17903872,0,22,-0.2769877374172211,COMPLETE,6.503564357757568,7.156528949737549,6.8643622398376465,6.797847747802734,6.690472602844238,2.78173828125,2.84033203125,2.8505859375,2.84033203125,2.7568359375,9.285303115844727,9.99686050415039,9.714948654174805,9.638179779052734,9.447308540344238,0.0,0.019318176005345362,0.12966566562387846,1122.0895631462033,1366.429480365154,1190.6275655922364,1239.2675880744803,1032.9598898088868
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 8, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0556640625,16.249638765462002,1122.6939690360548,64,9.577810287475586,0.00024234961058442682,,0.5,2.667,transformer,0.0546875,0.0703125,0.0390625,0.046875,0.078125,16.261792849285467,17.874262275116802,16.870415460574968,16.423382058146643,16.240962839031273,8,2795392,12444736,0,23,-0.29551025778055195,COMPLETE,6.791677474975586,7.195741176605225,6.91456413269043,6.698484897613525,6.740428924560547,2.7861328125,2.86962890625,2.83447265625,2.7919921875,2.7890625,9.577810287475586,10.065370559692383,9.74903678894043,9.490476608276367,9.529491424560547,0.0,0.035853026844418864,0.008671419184671694,1187.5433700851227,1435.5896911658324,1270.9978965531368,1351.3333435421187,1116.0848584809146
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 8, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,,,,64,,0.00020211558248094388,,0.5,2.667,transformer,,0.0546875,,,,,18.002361247105156,,,,8,5038080,17903872,0,24,0.0546875,PRUNED,,7.11015510559082,,,,,2.87890625,,,,,9.98906135559082,,,,0.0,0.018277303449016798,0.14371102322500076,,1399.9537895563992,,,
,,,,128,,,,,32,,,,,2.667,transformer,,,,,,,,,,,8,,,,25,,PRUNED,,,,,,,,,,,,,,,,0.1,,,,,,,
,,,3,256,64,,,,64,,,1,,2.667,mamba_only,,,,,,,,,,,2,,,,26,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.333,late,"{""d_conv"": 3, ""d_model"": 256, ""d_state"": 128, ""mamba_expand"": 3, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [4, 5], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,256,128,,,,32,,0.0003452914550199106,3,0.5,3.0,mamba_attn,,0.0390625,,,,,22.28564771614601,,,,6,6723216,19589008,2,27,0.0390625,PRUNED,,19.209569931030273,,,,,2.8988037109375,,,,,22.108373641967773,,,,,0.0018312198090511406,0.10852491586935076,,160044980.4867103,,,
0.333,uniform,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 16, ""mamba_expand"": 4, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [3], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",4,256,16,0.052734375,16.143615690065523,1184.4145329219302,64,8.978452682495117,0.001162121891661192,4,0.5,2.667,mamba_attn,0.0625,0.0703125,0.05859375,0.05859375,0.078125,16.266756311948548,37.373865610342875,18.864585418578233,17.983142916325477,16.960236621931312,4,4844656,17710448,1,28,-0.30111581832170486,COMPLETE,6.225034236907959,9.81224250793457,7.321259021759033,6.46910285949707,6.172122478485107,2.75341796875,3.1998291015625,3.079345703125,3.2373046875,2.86474609375,8.978452682495117,13.01207160949707,10.400604248046875,9.70640754699707,9.036869049072266,,0.04060248165292939,0.15124851537982337,1308.925563074525,24386.81311637722,1951.6022913807515,1984.8870113737626,1155.1198634020627
,,,,256,,,,,64,,,,,3.0,transformer,,,,,,,,,,,2,,,,29,,PRUNED,,,,,,,,,,,,,,,,0.05,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,,,,32,,0.0002722636126672798,,0.5,3.0,transformer,,0.0625,,,,,17.03597268069252,,,,12,7934464,20800256,0,30,0.0625,PRUNED,,7.167790412902832,,,,,2.8310546875,,,,,9.998845100402832,,,,0.0,0.024638519453447978,0.0967490824572737,,1382.2710333423465,,,
