attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_100,mqar_acc_step_200,mqar_acc_step_300,mqar_acc_step_400,mqar_acc_step_500,mqar_proxy_ppl_step_100,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_500,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_100,wikitext_ppl_step_200,wikitext_ppl_step_300,wikitext_ppl_step_400,wikitext_ppl_step_500
,,,,384,,,,,64,,,,,3.0,transformer,,,,,,,,,,,2,,,,20,,PRUNED,0.1,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0,15816.242931812794,1132.602996298713,64,6.720845699310303,0.0010043793309079325,,1.0,2.667,transformer,0.0,0.0,0.0,0.0,0.0,22155.9059667458,15661.105279994421,12140.434745876402,17004.119844976845,15991.451389973492,6,1008896,7441792,0,21,-0.35161368995904924,COMPLETE,0.0,0.06304995976827904,0.0568145738566083,1418.2334677238505,1255.346916800796,1353.893092242449,1131.1511131724228,1201.7262563100626
,,,,64,,,,,32,,,,,3.0,transformer,,,,,,,,,,,4,,,,22,,PRUNED,0.0,,,,,,,
,,,,64,,,,,32,,,,,2.667,transformer,,,,,,,,,,,2,,,,23,,PRUNED,0.0,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,17163.130712043327,1040.6366485614315,64,6.673577308654785,0.001164211199137794,,1.0,2.0,transformer,0.0,0.0,0.0,0.0,0.0,21748.600453914136,20747.59357978477,21097.486300456294,17377.63742442625,18100.791353753066,4,1213056,10862400,0,24,-0.3473793983459473,COMPLETE,0.05,0.07444560251738651,0.07599985538269285,1420.8484618116925,1217.4920620703135,1271.4999640774975,1059.2031807865087,1114.9781846965063
,,,,64,,,,,64,,,,,2.0,transformer,,,,,,,,,,,4,,,,25,,PRUNED,0.05,,,,,,,
,,,,192,,,,,64,,,,,2.0,transformer,,,,,,,,,,,12,,,,26,,PRUNED,0.05,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,9665.325302174077,1006.0205133454693,64,6.530925750732422,0.001559444564438557,,1.0,3.0,transformer,0.0,0.0,0.0,0.0,0.0,24339.44381504664,21218.8769019549,17642.678701787794,10393.141196090335,10152.384339592421,4,1508736,11158080,0,27,-0.3456878870725632,COMPLETE,0.05,0.08502839460425705,0.1080967635464527,1416.697991298617,1188.609133701205,1227.495822932524,1027.7434175096246,1086.0394084599914
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 6, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,12032.363112225528,1059.5620919936866,32,6.596316814422607,0.0008635457564278064,,1.0,2.0,transformer,0.0,0.0,0.0,0.0,0.0,19106.580546684723,16016.848595325378,13490.832032175558,12980.3428841039,12265.56205107441,4,1213056,10862400,0,28,-0.34828054904937744,COMPLETE,0.05,0.07495357979408648,0.11834246896998664,1424.0278575338377,1200.9154092306765,1274.9268252051536,1062.7063004587658,1130.2586651426113
0.5,middle,"{""d_conv"": 2, ""d_model"": 192, ""d_state"": 64, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [1, 2], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,192,64,0.0,385279.7040484708,2367.237722212938,64,7.401162147521973,0.0010357182693567803,1,1.0,2.0,mamba_attn,0.0,0.0,0.0,0.0,0.0,485165195.4097903,9838429.381871155,1434417.6862279577,296587.5275097428,211238.3060054519,4,1456914,11106258,2,29,-0.38847395181655886,COMPLETE,,0.07531502973168351,0.10137812279740488,9729067.616832033,13019.116062001223,4041.485742834635,2336.0352794952496,2452.6365928273044
