number,state,loss,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,per_device_batch_size,tokens_per_sec,worker_id,peak_memory_gib,failure_kind
293,COMPLETE,4.332093238830566,3,full,24,2,8,4,even,0.004301333423806805,0.005389948880741717,1.25,0.9,2,one,0.003808046843436289,0.1,0.06,0.5,11,192,2959900,0.002985715866088867,24,435873.19115899684,4,4.493391990661621,
294,COMPLETE,4.317249178886414,2,full,24,2,24,6,even,0.015708831771339637,0.0262339038891018,0.8164965809277261,0.9,1,linear,0.004107619278382056,0.1,0.04,0.5,13,128,2996020,0.1078677773475647,24,332629.74927212484,3,4.4938483238220215,
295,PRUNED,4.978110957370073,2,full,24,1,32,4,midlate,0.018932473597328473,0.07258332182310222,1.25,0.9,1,one,0.0028100356877068687,0.15,0.06,1.0,13,128,2958120,,24,,7,,
296,COMPLETE,4.365976810455322,3,lean,16,8,8,6,midlate,0.019390348021183078,0.14999667757033716,1.0,1.0,2,head_scalar,0.0033986906415408515,0.1,0.06,0.5,10,192,2927384,0.014280438423156738,24,350961.1331895385,2,4.4930315017700195,
297,COMPLETE,4.2517459988594055,2,lean,8,2,24,6,even,0.007268624146299028,0.05515885330257526,0.8164965809277261,1.0,1,linear,0.005452371353797223,0.1,0.04,0.5,12,128,2903340,0.13005763292312622,24,325253.1083680424,7,4.492803573608398,
298,COMPLETE,4.284497916698456,3,full,32,2,8,2,late,0.003825153872089438,0.008340555364806547,1.25,0.9,1,one,0.004950833476887876,0.1,0.06,0.5,11,192,2951308,0.004040420055389404,24,605747.0311323319,6,4.4932756423950195,
299,COMPLETE,4.386840283870697,3,lean,24,1,24,4,midlate,0.01052934590042669,0.0067191923443755495,1.0,0.9,1,head_scalar,0.003356168177361721,0.15,0.02,1.0,10,192,2884876,0.04630404710769653,24,458924.8046516132,5,4.492547988891602,
300,COMPLETE,4.36441171169281,2,full,24,2,8,4,late,0.005743187588610626,0.00802812922436952,0.8164965809277261,0.9,1,one,0.0038605618092947213,0.1,0.06,0.5,13,128,2949928,0.009758293628692627,24,442571.49004711054,4,4.4933085441589355,
301,COMPLETE,4.35884815454483,3,full,24,2,8,4,late,0.005998456477773616,0.03105632722204894,1.25,0.9,1,one,0.0035685192799057193,0.05,0.06,0.5,11,192,2959900,0.006736099720001221,24,489232.53128741327,1,4.493391990661621,
302,COMPLETE,4.314800560474396,3,lean,16,8,24,4,midlate,0.017515424323079454,0.10564921391356279,1.25,0.9,1,one,0.004546042444370284,0.1,0.02,0.5,10,192,2959848,0.060869693756103516,24,272562.93904834933,0,4.493372917175293,
303,PRUNED,4.891062623137859,2,lean,32,1,32,3,midlate,0.022993161869655603,0.012372629307529606,0.8164965809277261,1.05,1,one,0.0031713774630000354,0.05,0.06,1.0,12,128,2892768,,24,,6,,
304,COMPLETE,4.315294027328491,2,full,8,2,24,3,even,0.00991326907068896,0.027601771152348326,1.25,0.9,1,linear,0.004942030855897924,0.1,0.04,0.5,13,128,2923534,0.08631455898284912,24,440333.9912791163,4,4.493020057678223,
305,COMPLETE,4.362381219863892,3,lean,24,1,24,3,even,0.02937705438490036,0.008353809839706587,1.25,0.9,1,one,0.003430444848128997,0.15,0.04,1.0,10,192,2873480,0.033781588077545166,24,543874.7152998905,3,4.49240779876709,
306,COMPLETE,4.280712187290192,2,full,24,1,32,2,midlate,0.028784704124660436,0.11170589767271175,1.25,0.9,1,one,0.00547913312385745,0.15,0.06,1.0,13,128,2933288,0.033561885356903076,24,486614.06982502434,2,4.493112087249756,
307,COMPLETE,4.309787333011627,3,full,32,2,16,2,late,0.008118654910929269,0.0067315654221661745,1.25,0.9,1,one,0.004355338305879371,0.1,0.06,0.5,11,192,2955404,0.01867431402206421,24,545068.9476964078,5,4.493321418762207,
308,COMPLETE,4.277679145336151,3,lean,32,1,24,4,midlate,0.026225580717072386,0.017479038305103247,1.25,0.9,1,one,0.004811475908797972,0.15,0.04,1.0,10,192,2895912,0.04471540451049805,24,472384.84490989766,6,4.492654800415039,
309,COMPLETE,4.252134919166565,2,full,24,2,32,4,midlate,0.024458273892356372,0.05746630455543833,1.25,0.9,1,linear,0.00545095488860564,0.15,0.06,1.0,13,128,2975024,0.14932125806808472,24,328694.1184382446,1,4.493598461151123,
310,COMPLETE,4.277238488197327,3,full,24,2,8,2,late,0.003957510192477596,0.014188837787312803,1.25,0.9,1,one,0.005063911412007788,0.1,0.06,1.0,11,192,2939164,0.004522085189819336,24,445901.2508256893,7,4.493149757385254,
311,COMPLETE,4.293210983276367,2,full,8,2,24,6,even,0.015406905411052482,0.01292151272641319,0.8164965809277261,0.9,1,linear,0.0045397748352596435,0.05,0.06,0.5,13,128,2967316,0.09613478183746338,24,314995.0460142876,5,4.493532180786133,
312,COMPLETE,4.307700753211975,2,lean,8,2,24,6,even,0.00707400465687594,0.052476626713740177,0.8164965809277261,1.0,1,linear,0.004312429677052759,0.1,0.04,0.5,12,128,2903340,0.11068111658096313,24,339536.24721641897,3,4.492803573608398,
313,COMPLETE,4.289128839969635,2,full,24,1,32,2,midlate,0.018445922169486564,0.13300723638905573,1.25,0.9,1,one,0.005244026529825666,0.15,0.06,1.0,13,128,2933288,0.03284907341003418,24,477404.24565108656,2,4.493112087249756,
314,COMPLETE,4.300702095031738,2,full,8,2,24,6,midlate,0.010433499531192903,0.10844403883148755,0.8164965809277261,0.9,1,linear,0.004180512230751531,0.1,0.04,0.5,13,128,2967316,0.1469268798828125,24,323072.8356580097,4,4.493532180786133,
315,COMPLETE,4.250552654266357,3,lean,24,1,24,4,midlate,0.028208883512147162,0.007954780678647196,0.75,0.9,1,one,0.005389968322823053,0.15,0.04,1.0,10,192,2884872,0.052490293979644775,24,485711.22675767145,6,4.49254035949707,
316,COMPLETE,4.306806743144989,3,full,24,2,8,2,late,0.0031104920304252273,0.006345732360021943,1.25,0.9,1,one,0.004628499837388397,0.1,0.06,1.0,11,192,2939164,0.007743775844573975,24,588381.9094816515,7,4.493149757385254,
317,COMPLETE,4.313188135623932,3,lean,32,1,24,4,midlate,0.0239065997439532,0.03060598571926236,1.25,0.9,1,one,0.004142634972980906,0.15,0.04,1.0,10,192,2895912,0.04206991195678711,24,425267.9712112679,2,4.492654800415039,
318,COMPLETE,4.305737137794495,2,full,24,2,32,2,midlate,0.01973100965486965,0.12707496353867684,1.25,0.9,1,one,0.004289534381738507,0.15,0.06,1.0,13,128,2941480,0.04473787546157837,24,482256.60712021653,1,4.493203639984131,
319,COMPLETE,4.266312837600708,3,lean,24,1,24,3,midlate,0.007981942287659334,0.029345663884483026,1.0,0.9,1,head_scalar,0.005367914557395352,0.15,0.04,1.0,10,192,2873483,0.04431098699569702,24,538214.3454638728,7,4.492413520812988,
320,COMPLETE,4.215053558349609,2,full,24,2,32,4,midlate,0.01586440675447294,0.021854101465742203,1.25,1.0,1,linear,0.005355635636888596,0.15,0.06,1.0,13,128,2975024,0.14147043228149414,24,369580.4276631694,6,4.493598461151123,
321,COMPLETE,4.283537149429321,3,lean,24,2,24,4,midlate,0.020218700764616394,0.0056014277082142285,0.75,0.9,1,one,0.00471861910038452,0.15,0.04,1.0,10,192,2897160,0.06267225742340088,24,326574.678560057,0,4.492677688598633,
322,PRUNED,4.89254549756469,2,full,8,2,24,6,even,0.012145404598146309,0.011969354339445366,1.0,0.9,1,linear,0.0034076755583317786,0.05,0.06,0.5,13,128,2967316,,24,,5,,
323,COMPLETE,4.314736485481262,2,full,32,1,32,4,midlate,0.02952323870211624,0.05889904337234552,1.25,0.9,1,one,0.004787092935606092,0.1,0.06,1.0,13,128,2972472,0.04293322563171387,24,405378.8022160719,3,4.49354887008667,
324,COMPLETE,4.297581434249878,2,full,24,1,32,2,midlate,0.020244310349818145,0.01665657679503031,1.0,0.9,1,one,0.005197154722101531,0.15,0.06,1.0,13,128,2933288,0.008401274681091309,24,520511.4013164373,4,4.493112087249756,
325,COMPLETE,4.295436501502991,2,full,24,1,32,4,midlate,0.02602136830727465,0.1918618674782296,1.25,1.0,1,one,0.005334668454451514,0.15,0.06,1.0,13,128,2958120,0.058235764503479004,24,311495.20682345296,7,4.4934000968933105,
326,COMPLETE,4.2525588274002075,2,full,24,1,32,2,midlate,0.023313407213124093,0.09783489786931003,1.25,0.9,1,learned,0.005330299487660039,0.15,0.06,1.0,13,128,2933418,0.1165204644203186,24,474229.9517692321,2,4.493119716644287,
327,COMPLETE,4.299711346626282,2,full,8,1,24,6,even,0.016316258469679455,0.01642370092401855,0.8164965809277261,1.05,1,linear,0.004496752195629279,0.1,0.04,0.5,13,128,2948494,0.12418472766876221,24,357584.29331293545,1,4.493326187133789,
328,COMPLETE,4.282413840293884,2,full,24,2,32,4,midlate,0.02903794404588805,0.19446780637197986,1.25,0.9,2,linear,0.00524593602350734,0.1,0.06,1.0,13,128,2975024,0.052104830741882324,24,331348.79919380177,5,4.493598461151123,
